Protocol,dataset,instance,variant,reward_scheme,seed,HV_local,Spread,Cmax_best,TEC_best,WB_best,NSol,Time,Execution_device,Extension_seed_scheme,Torch_CUDA_available,Entropy_all,Entropy_last20,Transition_gen,Transition_reason,Reward_HV_corr,PPO_update_count,PPO_rollout_sizes,PPO_policy_loss_mean,PPO_value_loss_mean,PPO_entropy_mean,BC_samples,BC_loss,BC_accuracy,BC_entropy,BC_final_loss,BC_final_accuracy,BC_final_entropy,Operator_counts,front_pickle,Front_points_raw,Front_points_unique,HV_common
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,R1_survival_only,survival,46,1012334.6721970564,0.7203876273520095,61.80923297949676,1779.9634844766315,12.99999999999999,76,56.21856927871704,cpu,sha256(dataset/filename)+42,False,0.9943300789573756,0.9057074336417442,70,coverage_latest_guard,0.4141207143489339,2,"[16,14]",-0.0115092359732702,2.2887518107891083,2.269087851047516,70,2.1591630113124847,0.1893750016391277,2.23370259364446,1.9737324714660645,0.2857142984867096,2.1153488159179688,"[7,11,10,12,10,9,10,9,13,9]",results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed46.pkl,76,76,1.0512789211889195
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,R1_survival_only,survival,49,934609.3858453776,0.6072000906640067,60.01017366887943,1781.0494422600814,12.999999999999991,76,56.608149766922,cpu,sha256(dataset/filename)+42,False,0.9863039555940372,0.8267606240177031,62,coverage_stagnation,0.5356994133535689,3,"[16,16,6]",-0.0066715368302538,1.482510576645533,2.2011232574780784,62,2.1229651618003844,0.2568645865470171,2.219708288311958,1.890408277511597,0.3709677457809448,2.0505545139312744,"[16,8,11,13,8,8,8,8,9,11]",results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed49.pkl,76,76,1.0310699476177452
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,R1_survival_only,survival,42,2060400.521031113,0.7142431535409104,61.11950665325336,1742.1328596202593,12.99999999999998,99,57.02647233009338,cpu,sha256(dataset/filename)+42,False,0.9892267993579807,0.9057074336417442,65,coverage_stagnation,0.5244560301793755,3,"[16,16,3]",-0.0118508286411976,2.068207641442617,2.2028384606043496,65,2.1313041838010154,0.2142708333333333,2.2235894159475964,1.8946974277496336,0.3538461625576019,2.055068016052246,"[9,11,11,10,15,10,11,6,9,8]",results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed42.pkl,99,99,1.0614741604781193
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,R1_survival_only,survival,45,1735446.694779168,0.6350272396147395,63.28647777634536,1814.225331405624,12.999999999999991,96,57.7066650390625,cpu,sha256(dataset/filename)+42,False,0.9920975832120282,0.8040362458673969,70,coverage_latest_guard,0.5179760020279799,2,"[16,14]",-0.0090633788744787,1.008529432117939,2.225844651460648,70,2.156593933502833,0.2062152793506781,2.2324389028549194,1.9773859977722168,0.3285714387893677,2.112781047821045,"[8,8,7,13,12,10,10,9,12,11]",results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed45.pkl,96,96,0.8319959652670788
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,R1_survival_only,survival,48,1065784.8205175698,0.7226947618566972,64.08297552882122,1824.6977846773048,12.999999999999991,74,66.40766096115112,cpu,sha256(dataset/filename)+42,False,0.9986949363491678,0.9358104332081424,70,coverage_latest_guard,0.616707406807386,2,"[16,14]",-0.0055721843673381,1.258191078901291,2.287509113550186,70,2.138396968841553,0.2283333350718021,2.221860731045405,1.942313313484192,0.3142857253551483,2.0729377269744877,"[10,9,9,10,9,10,10,11,11,11]",results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed48.pkl,74,74,0.865680035581383
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,R1_survival_only,survival,44,1288735.2077537875,0.5886681425956586,61.153414152525926,1777.7306721870698,12.99999999999999,100,67.72505640983582,cpu,sha256(dataset/filename)+42,False,0.980957227577342,0.7408239965311849,66,coverage_stagnation,0.5990298647932745,3,"[16,16,2]",-0.0070745470002293,0.555094736861065,2.014096200466156,66,2.1482881359259287,0.2276041666666666,2.232395120461782,1.926518678665161,0.3636363744735718,2.087376117706299,"[9,7,11,10,14,15,12,9,5,8]",results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed44.pkl,100,100,0.9332498186777074
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,R1_survival_only,survival,51,928554.828572938,0.6537675886485561,64.58841834784751,1782.0098234949362,14.999999999999986,81,69.75226902961731,cpu,sha256(dataset/filename)+42,False,0.98498845294397,0.7512088681506924,70,coverage_latest_guard,0.3606534253086864,2,"[16,14]",-0.0122971822274848,0.9480124190449716,2.2513970732688904,70,2.153510884841283,0.2267361127833525,2.238148543437322,1.94460928440094,0.3285714387893677,2.117234468460083,"[12,9,8,8,10,17,7,10,8,11]",results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed51.pkl,81,81,0.8599660993596528
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,R2_hv_only,hv,43,1056416.3492395729,0.5707524531136674,64.7698639253291,1842.255188990859,12.999999999999996,77,71.24043464660645,cpu,sha256(dataset/filename)+42,False,0.9745391592177596,0.6400261192031526,43,coverage_stagnation,1.0,4,"[16,16,16,9]",-0.0080375492090958,0.0001364118066931,2.201949656009674,43,2.1631974655389787,0.1888778439164161,2.246710842847824,1.9239479303359983,0.3255814015865326,2.116106510162353,"[19,13,11,10,10,8,7,6,9,7]",results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R2_hv_only_hv_seed43.pkl,77,77,0.8364960844895744
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,R1_survival_only,survival,47,993955.0270665848,0.6840254291382026,60.81979226976295,1789.977828168784,12.999999999999991,66,75.29412341117859,cpu,sha256(dataset/filename)+42,False,0.9896638453197348,0.8928421194648833,70,coverage_latest_guard,0.4980957195840442,2,"[16,14]",-0.006554905345963,1.48003638535738,2.2398135662078857,70,2.1558670012156167,0.2220486126840114,2.2283888443311057,1.9918333292007449,0.2857142984867096,2.109618186950684,"[9,7,10,7,14,9,11,9,11,13]",results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed47.pkl,66,66,1.0009452744517424
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,R1_survival_only,survival,50,851449.7899795774,0.6424960652670061,62.52107484024517,1781.7384958612738,13.999999999999986,75,77.5730197429657,cpu,sha256(dataset/filename)+42,False,0.9918234395655364,0.8439983094072402,70,coverage_latest_guard,0.5604541749600523,2,"[16,14]",-0.007915543280043,1.5406731963157654,2.274550497531891,70,2.1492606699466705,0.2164583349227905,2.2240305201212567,1.983860969543457,0.2857142984867096,2.115356683731079,"[7,10,10,9,9,13,12,8,13,9]",results/resubmission/v5/e2_reward/fronts/Brandimarte_Mk01_R1_survival_only_survival_seed50.pkl,75,75,0.975169000356218
